Sample in Buffer,Sample in Window,TRIGGER,staged_mac_bd_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],staged_mac_bd_i/system_ila_0/inst/net_slot_0_axis_tid[7:0],staged_mac_bd_i/system_ila_0/inst/net_slot_0_axis_tvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_0_axis_tready,staged_mac_bd_i/system_ila_0/inst/net_slot_0_axis_tlast,staged_mac_bd_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],staged_mac_bd_i/system_ila_0/inst/net_slot_1_axis_tid[7:0],staged_mac_bd_i/system_ila_0/inst/net_slot_1_axis_tvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_1_axis_tready,staged_mac_bd_i/system_ila_0/inst/net_slot_1_axis_tlast,staged_mac_bd_i/system_ila_0/inst/net_slot_2_axis_tdata[15:0],staged_mac_bd_i/system_ila_0/inst/net_slot_2_axis_tid[7:0],staged_mac_bd_i/system_ila_0/inst/net_slot_2_axis_tvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_2_axis_tready,staged_mac_bd_i/system_ila_0/inst/net_slot_2_axis_tlast,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_ar_cnt[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_araddr[31:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_aw_cnt[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_awaddr[31:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_b_cnt[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_bresp[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_r_cnt[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_rdata[31:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_rresp[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_wdata[31:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_wstrb[3:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_aw_ctrl[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_awvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_awready,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_wvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_w_ctrl[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_wready,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_bvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_b_ctrl[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_bready,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_ar_ctrl[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_arvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_arready,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_r_ctrl[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_rvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_rready,AR_Channel_(i1:s3)_(ps7_0_axi_periph_M00_AXI)[2:0],AW_Channel_(i1:s3)_(ps7_0_axi_periph_M00_AXI)[2:0],B_Channel_(i1:s3)_(ps7_0_axi_periph_M00_AXI)[2:0],Interface_(i1:s0)_(staged_mac_0_MO_AXIS)[2:0],Interface_(i1:s1)_(axi_fifo_mm_s_0_AXI_STR_TXD)[2:0],Interface_(i1:s2)_(axis_subset_converter_0_M_AXIS)[2:0],Interface_(i1:s3)_(ps7_0_axi_periph_M00_AXI)[2:0],R_Channel_(i1:s3)_(ps7_0_axi_periph_M00_AXI)[2:0],T_Channel_(i1:s0)_(staged_mac_0_MO_AXIS)[2:0],T_Channel_(i1:s1)_(axi_fifo_mm_s_0_AXI_STR_TXD)[2:0],T_Channel_(i1:s2)_(axis_subset_converter_0_M_AXIS)[2:0],W_Channel_(i1:s3)_(ps7_0_axi_periph_M00_AXI)[2:0],slot_3___ps7_0_axi_periph_M00_AXI___Read_Transactions_0[15:0]
259,259,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
260,260,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
261,261,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
262,262,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
263,263,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
264,264,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
265,265,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
266,266,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
267,267,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c0001c,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,1,1,0,2,0,1,"Addr Cmd","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","Active","_","No Streams","No Streams","No Streams","No Write Data Beats","Read (ID:0 Addr:0x43c0001c)"
268,268,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c0001c,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,1,1,0,2,0,1,"Addr Cmd","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","Active","_","No Streams","No Streams","No Streams","No Write Data Beats","Read (ID:0 Addr:0x43c0001c)"
269,269,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c0001c,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,1,1,0,2,0,1,"Addr Cmd","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","Active","_","No Streams","No Streams","No Streams","No Write Data Beats","Read (ID:0 Addr:0x43c0001c)"
270,270,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c0001c,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,3,1,1,2,0,1,"Addr Cmd","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","Active","_","No Streams","No Streams","No Streams","No Write Data Beats","Read (ID:0 Addr:0x43c0001c)"
271,271,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,1,43c00020,0,43c00018,0,"OKAY",1,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,3,1,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","Active","Last Data","No Streams","No Streams","No Streams","No Write Data Beats","Read (ID:0 Addr:0x43c0001c)"
272,272,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
273,273,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
274,274,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
275,275,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
276,276,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
277,277,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
278,278,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
279,279,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
280,280,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
281,281,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
282,282,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
283,283,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
284,284,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
285,285,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c0001c,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,1,1,0,2,0,1,"Addr Cmd","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","Active","_","No Streams","No Streams","No Streams","No Write Data Beats","Read (ID:0 Addr:0x43c0001c)"
286,286,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c0001c,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,1,1,0,2,0,1,"Addr Cmd","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","Active","_","No Streams","No Streams","No Streams","No Write Data Beats","Read (ID:0 Addr:0x43c0001c)"
287,287,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c0001c,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,1,1,0,2,0,1,"Addr Cmd","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","Active","_","No Streams","No Streams","No Streams","No Write Data Beats","Read (ID:0 Addr:0x43c0001c)"
288,288,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c0001c,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,3,1,1,2,0,1,"Addr Cmd","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","Active","_","No Streams","No Streams","No Streams","No Write Data Beats","Read (ID:0 Addr:0x43c0001c)"
289,289,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,1,43c00020,0,43c00018,0,"OKAY",1,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,3,1,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","Active","Last Data","No Streams","No Streams","No Streams","No Write Data Beats","Read (ID:0 Addr:0x43c0001c)"
290,290,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
291,291,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
292,292,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
293,293,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
294,294,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
295,295,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
296,296,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
297,297,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
298,298,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
